instance,prohibited_content
vis.social,pornography_all
vis.social,illegalContentLinks
vis.social,spam
vis.social,advertising
claris.cf,illegalContentLinks
claris.cf,spam
mastodon.mg,nudity_nocw
mastodon.mg,pornography_nocw
mastodon.mg,illegalContentLinks
mastodon.mg,spam
mastodon.mg,spoilers_nocw
social.politicaconciencia.org,nudity_nocw
social.politicaconciencia.org,nudity_all
social.politicaconciencia.org,pornography_nocw
social.politicaconciencia.org,pornography_all
social.politicaconciencia.org,illegalContentLinks
social.politicaconciencia.org,spam
social.politicaconciencia.org,advertising
social.politicaconciencia.org,spoilers_nocw
imastodon.org,pornography_nocw
imastodon.org,advertising
yukari.cafe,nudity_nocw
yukari.cafe,nudity_all
yukari.cafe,pornography_nocw
yukari.cafe,pornography_all
yukari.cafe,illegalContentLinks
yukari.cafe,spam
yukari.cafe,advertising
yukari.cafe,spoilers_nocw
pouet.space,nudity_nocw
pouet.space,pornography_nocw
pouet.space,pornography_all
pouet.space,illegalContentLinks
pouet.space,spam
pouet.space,advertising
kinkyelephant.com,illegalContentLinks
kinkyelephant.com,spam
kinkyelephant.com,advertising
pony.social,nudity_nocw
pony.social,pornography_nocw
pony.social,illegalContentLinks
pony.social,spam
pony.social,advertising
pony.social,spoilers_nocw
social.bau-ha.us,pornography_nocw
social.bau-ha.us,spam
social.bau-ha.us,advertising
kpop.social,nudity_nocw
kpop.social,pornography_nocw
kpop.social,illegalContentLinks
kpop.social,spoilers_nocw
linernotes.club,nudity_nocw
linernotes.club,nudity_all
linernotes.club,pornography_nocw
linernotes.club,pornography_all
linernotes.club,illegalContentLinks
linernotes.club,spam
linernotes.club,advertising
gulp.cafe,pornography_nocw
gulp.cafe,illegalContentLinks
gulp.cafe,spam
gulp.cafe,advertising
gulp.cafe,spoilers_nocw
mastodon.bida.im,nudity_nocw
mastodon.bida.im,pornography_nocw
mastodon.bida.im,spam
mastodon.bida.im,advertising
mastodon.bida.im,spoilers_nocw
mastodontti.fi,nudity_nocw
mastodontti.fi,pornography_nocw
mastodontti.fi,pornography_all
mastodontti.fi,illegalContentLinks
mastodontti.fi,spam
mastodontti.fi,advertising
plush.city,nudity_nocw
plush.city,pornography_nocw
plush.city,illegalContentLinks
plush.city,spam
plush.city,advertising
plush.city,spoilers_nocw
whitespashe.uk,nudity_nocw
whitespashe.uk,pornography_nocw
whitespashe.uk,illegalContentLinks
whitespashe.uk,spam
whitespashe.uk,advertising
whitespashe.uk,spoilers_nocw
