instance,language
pokemon.men,zh
ma.fono.jp,ja
social.thisisjoes.site,en
mastodon.cisti.org,it
ifwo.eu,de
1234.as,km
1234.as,zh
1234.as,en
1234.as,tl
1234.as,th
1234.as,vi
wandzeitung.xyz,de
rollenspiel.social,de
indieweb.social,en
barcamp.social,de
pone.social,en
m.cmx.im,zh
bologna.one,en
bologna.one,it
bologna.one,es
ioc.exchange,en
ioc.exchange,de
ani.work,en
ani.work,ja
ani.work,ko
mastodon.ethibox.fr,fr
digitalcourage.social,en
digitalcourage.social,de
niedersachsen.social,de
sfba.social,en
mainburg.hallertau.social,en
mainburg.hallertau.social,de
mastodon.uno,it
xarxa.cloud,ca
xarxa.cloud,es
social.tulsa.ok.us,en
ursal.zone,pt
social.diva.exchange,en
social.diva.exchange,de
voi.social,en
voi.social,de
stereodon.social,en
stereodon.social,it
coolmathgam.es,en
noc.social,en
unipar.online,pt
alive.bar,zh
mastodon.la,es
utopia.cool,zh
lejaua6.club,zh
todon.eu,ca
todon.eu,nl
todon.eu,en
todon.eu,fr
todon.eu,de
todon.eu,pt
todon.eu,es
todon.eu,fy
hyan.ink,zh
hub.mtf.party,zh
hub.mtf.party,en
social.wieser-hv.de,en
social.wieser-hv.de,de
kolektiva.social,en
social.finkhaeuser.de,en
social.finkhaeuser.de,de
social.finkhaeuser.de,it
social.finkhaeuser.de,pt
social.finkhaeuser.de,ro
social.finkhaeuser.de,es
fulda.social,en
fulda.social,de
eattherich.club,en
social.bim.land,fr
osna.social,en
osna.social,de
9kb.me,zh
thefire.work,zh
nerd.town,en
unbound.social,en
nuernberg.social,de
nrw.social,de
moresci.sale,zh
moresci.sale,en
c.im,en
ludosphere.fr,fr
graz.social,en
graz.social,de
tooter.social,en
tooter.social,fr
social.cologne,en
social.cologne,de
toot.portes-imaginaire.org,fr
mastodon.1984.cz,cs
mastodon.1984.cz,sk
onlyfeds.cc,en
jako.social,en
jako.social,fi
subversive.zone,de
mastodon.acerbo.me,en
mastodon.acerbo.me,fr
mastodon.acerbo.me,it
roleplayers.bub.org,en
antisocial.science,zh
antisocial.science,en
cathode.church,en
mastodon.world,nl
mastodon.world,en
gs.leftic.club,en
gs.leftic.club,fr
mas.atmx.ca,fr
stereophonic.space,en
mastouille.fr,fr
wien.rocks,en
wien.rocks,de
social.sp-codes.de,en
social.sp-codes.de,de
hessen.social,en
hessen.social,de
unperson.us,en
pagan.plus,en
dragonscave.space,en
bdx.town,fr
freiburg.social,de
mastodon.bachgau.social,de
feuerwehr.social,de
mast.dragon-fly.club,zh
mast.dragon-fly.club,en
mastodon.habets.dev,nl
mastodon.habets.dev,en
mastodon.habets.dev,fr
mastodon.habets.dev,de
mastodon.habets.dev,es
social.fbxl.net,en
mstdn.moe,zh
mastodon.im.sb,zh
mastodon.im.sb,en
kazv.moe,zh
kazv.moe,en
sneakerwave.net,zh
sneakerwave.net,en
sneakerwave.net,ja
sneakerwave.net,ko
social.goonj.xyz,en
dis-le.de,de
biplus.date,zh
yip.gay,en
yip.gay,de
social.main-angler.de,en
social.main-angler.de,de
froth.zone,en
vrparty.social,en
social.rights.ninja,en
fearness.org,en
oslo.town,en
oslo.town,no
oslo.town,nn
radiosocial.de,en
radiosocial.de,de
social.datalabour.com,zh
kfem.cat,an
kfem.cat,eu
kfem.cat,ca
kfem.cat,gl
kfem.cat,es
rheinland.social,de
puntarella.party,it
el5.net,zh
mindly.social,en
links.potsda.mn,de
clube.social,en
clube.social,pt
catcatnya.com,en
catcatnya.com,de
fairy.id,zh
river.group.lt,en
river.group.lt,lt
chilemasto.casa,es
mastodon.chasalin.nl,nl
mastodon.chasalin.nl,en
meinungsschubla.de,de
gesichtsbu.ch,de
mstdn.ca,en
mstdn.ca,fr
eientei.org,en
mastodon.darkou.fr,fr
mirwarso.de,en
mirwarso.de,de
rheinneckar.social,de
fnordon.de,de
tabletop.vip,en
peoplemaking.games,en
sueden.social,en
sueden.social,de
tkz.one,an
tkz.one,ca
tkz.one,en
tkz.one,gl
tkz.one,es
mastodon.com.tr,tr
tyrol.social,en
tyrol.social,de
tyrol.social,it
wireless-iot.social,en
wireless-iot.social,de
lile.cl,es
h4.io,fr
orwell.fun,en
orwell.fun,eo
orwell.fun,it
focal.social,en
kafeneio.social,en
kafeneio.social,el
savageworlds.social,en
k8s.social,en
bolha.us,en
bolha.us,pt
social.dog-s.global,en
social.dog-s.global,de
campdarling.com,en
mastodon.offerman.com,nl
mastodon.offerman.com,en
mastodon.pub.solar,en
mastodon.pub.solar,de
pfadi.social,de
conversafiada.net,pt
eupolicy.social,en
eupolicy.social,fr
eupolicy.social,de
cheeseburger.social,en
breeze.town,en
schach.social,de
a11y.social,en
techforgood.social,en
techforgood.social,fr
pixelfed.automat.click,en
tea.codes,zh
gladtech.social,en
blobfox.coffee,en
benehomini.social,en
ailbhean.co-shaoghal.net,gd
toot.funami.tech,ko
dariox.club,en
hifish.social,en
hifish.social,de
tum.social,nl
tum.social,en
tum.social,de
occm.cc,ko
libori.social,de
berlin.social,en
berlin.social,de
brandenburg.social,en
brandenburg.social,de
social.veraciousnetwork.com,en
mastodon.saarland,en
mastodon.saarland,de
augsburg.social,de
flipping.rocks,en
inaccessible.ac,en
sakurajima.moe,en
assemblag.es,en
sciences.social,en
cityofchicago.live,en
cityofchicago.live,es
techeasy.org,zh
tukkers.online,nl
mastodon.mfbfreaks.nl,nl
mastodon.mfbfreaks.nl,en
retro.pizza,en
social.sciences.re,en
social.sciences.re,fr
cyberfurz.social,en
lustigetiernamenbubble.de,de
nwb.social,nl
lehrerzimmer.social,de
corteximplant.com,en
drk.network,de
mastodon.no2nd.earth,de
social.khajiit.de,en
social.khajiit.de,de
s.ourneu.space,zh
indiepocalypse.social,en
blueplanet.social,en
blueplanet.social,de
deppenkessel.de,de
thegem.city,en
mendeddrum.org,nl
mendeddrum.org,en
mendeddrum.org,de
raccoon.place,en
unstraight.club,en
ploen.social,en
ploen.social,de
verkehrswende.social,de
piaille.fr,en
piaille.fr,fr
piaille.fr,es
nangang.travnewmatic.com,en
emeraldsocial.org,en
emeraldsocial.org,de
rail.chat,en
col.social,es
cztwitter.cz,cs
postpandemicparty.org,en
v2br.social,en
pfalz.social,de
floe.earth,en
floe.earth,de
mastodonapp.uk,ab
mastodonapp.uk,aa
mastodonapp.uk,af
mastodonapp.uk,ak
mastodonapp.uk,sq
mastodonapp.uk,am
mastodonapp.uk,ar
mastodonapp.uk,an
mastodonapp.uk,hy
mastodonapp.uk,as
mastodonapp.uk,av
mastodonapp.uk,ay
mastodonapp.uk,az
mastodonapp.uk,bm
mastodonapp.uk,ba
mastodonapp.uk,eu
mastodonapp.uk,be
mastodonapp.uk,bn
mastodonapp.uk,bh
mastodonapp.uk,bi
mastodonapp.uk,bs
mastodonapp.uk,br
mastodonapp.uk,bg
mastodonapp.uk,my
mastodonapp.uk,km
mastodonapp.uk,ca
mastodonapp.uk,ch
mastodonapp.uk,ce
mastodonapp.uk,ny
mastodonapp.uk,zh
mastodonapp.uk,cv
mastodonapp.uk,kw
mastodonapp.uk,co
mastodonapp.uk,cr
mastodonapp.uk,hr
mastodonapp.uk,cs
mastodonapp.uk,da
mastodonapp.uk,dv
mastodonapp.uk,nl
mastodonapp.uk,dz
mastodonapp.uk,en
mastodonapp.uk,eo
mastodonapp.uk,et
mastodonapp.uk,ee
mastodonapp.uk,fo
mastodonapp.uk,fj
mastodonapp.uk,fi
mastodonapp.uk,fr
mastodonapp.uk,gl
mastodonapp.uk,lg
mastodonapp.uk,ka
mastodonapp.uk,de
mastodonapp.uk,el
mastodonapp.uk,kl
mastodonapp.uk,gn
mastodonapp.uk,gu
mastodonapp.uk,ht
mastodonapp.uk,ha
mastodonapp.uk,he
mastodonapp.uk,hz
mastodonapp.uk,hi
mastodonapp.uk,ho
mastodonapp.uk,hu
mastodonapp.uk,is
mastodonapp.uk,io
mastodonapp.uk,ig
mastodonapp.uk,id
mastodonapp.uk,ia
mastodonapp.uk,ie
mastodonapp.uk,iu
mastodonapp.uk,ik
mastodonapp.uk,ga
mastodonapp.uk,it
mastodonapp.uk,ja
mastodonapp.uk,jv
mastodonapp.uk,kn
mastodonapp.uk,kr
mastodonapp.uk,ks
mastodonapp.uk,kk
mastodonapp.uk,ki
mastodonapp.uk,ky
mastodonapp.uk,rn
mastodonapp.uk,kv
mastodonapp.uk,kg
mastodonapp.uk,ko
mastodonapp.uk,kj
mastodonapp.uk,ku
mastodonapp.uk,lo
mastodonapp.uk,la
mastodonapp.uk,lv
mastodonapp.uk,li
mastodonapp.uk,ln
mastodonapp.uk,lt
mastodonapp.uk,lb
mastodonapp.uk,mk
mastodonapp.uk,mg
mastodonapp.uk,ms
mastodonapp.uk,ml
mastodonapp.uk,mt
mastodonapp.uk,gv
mastodonapp.uk,mi
mastodonapp.uk,mr
mastodonapp.uk,mh
mastodonapp.uk,mo
mastodonapp.uk,mn
mastodonapp.uk,na
mastodonapp.uk,nv
mastodonapp.uk,ng
mastodonapp.uk,ne
mastodonapp.uk,nd
mastodonapp.uk,se
mastodonapp.uk,no
mastodonapp.uk,nn
mastodonapp.uk,oc
mastodonapp.uk,oj
mastodonapp.uk,cu
mastodonapp.uk,or
mastodonapp.uk,om
mastodonapp.uk,os
mastodonapp.uk,pi
mastodonapp.uk,pa
mastodonapp.uk,ps
mastodonapp.uk,fa
mastodonapp.uk,ff
mastodonapp.uk,pl
mastodonapp.uk,pt
mastodonapp.uk,qu
mastodonapp.uk,rm
mastodonapp.uk,ro
mastodonapp.uk,ru
mastodonapp.uk,rw
mastodonapp.uk,sm
mastodonapp.uk,sg
mastodonapp.uk,sa
mastodonapp.uk,sc
mastodonapp.uk,gd
mastodonapp.uk,sr
mastodonapp.uk,sh
mastodonapp.uk,sn
mastodonapp.uk,ii
mastodonapp.uk,sd
mastodonapp.uk,si
mastodonapp.uk,sk
mastodonapp.uk,sl
mastodonapp.uk,so
mastodonapp.uk,nr
mastodonapp.uk,st
mastodonapp.uk,es
mastodonapp.uk,su
mastodonapp.uk,sw
mastodonapp.uk,ss
mastodonapp.uk,sv
mastodonapp.uk,tl
mastodonapp.uk,ty
mastodonapp.uk,tg
mastodonapp.uk,ta
mastodonapp.uk,tt
mastodonapp.uk,te
mastodonapp.uk,th
mastodonapp.uk,bo
mastodonapp.uk,ti
mastodonapp.uk,to
mastodonapp.uk,ts
mastodonapp.uk,tn
mastodonapp.uk,tr
mastodonapp.uk,tk
mastodonapp.uk,tw
mastodonapp.uk,uk
mastodonapp.uk,ur
mastodonapp.uk,ug
mastodonapp.uk,uz
mastodonapp.uk,ve
mastodonapp.uk,vi
mastodonapp.uk,vo
mastodonapp.uk,wa
mastodonapp.uk,cy
mastodonapp.uk,fy
mastodonapp.uk,wo
mastodonapp.uk,xh
mastodonapp.uk,yi
mastodonapp.uk,yo
mastodonapp.uk,za
mastodonapp.uk,zu
pawb.fun,en
talk.stayas.one,de
federate.social,en
universeodon.com,en
mastodon.blackblock.rocks,en
veterinary.education,en
toot.lgbt,en
mastodon.vlaanderen,nl
bardown.space,en
meow.lgbt,en
trivia.to,en
mastodon.education,nl
mastodon.education,en
mastodon-belgium.be,nl
mastodon-belgium.be,en
mastodon-belgium.be,fr
lgbtqia.space,en
zirk.us,en
social.chatty.monster,en
social.horrorhub.club,en
hsnl.social,nl
hsnl.social,en
trans.house,en
mastodon.electric-goat.net,fr
tty0.social,en
mastodon.jtl.vision,cs
lviv.social,en
lviv.social,uk
snaggletooth.life,en
mastodon.fsinf.at,en
mastodon.fsinf.at,de
itdev.social,en
itdev.social,de
itdev.social,pl
kurry.social,ko
denizens.social,en
wp-punks.social,de
bonequest.net,en
mastodon.schle.nz,de
soc.ua-fediland.de,uk
etw.uk,en
netzkms.de,de
