instance,added_at,updated_at,checked_at,uptime,up,dead,version,ipv6,https_score,https_rank,obs_score,obs_rank,users,statuses,connections,open_registrations,topic
mastodon.berton.me,2022-11-21T07:31:19.448Z,2024-10-30T12:31:28.854Z,2024-10-30T12:31:28.854Z,1,true,false,,false,10,"E ",80,B+,2,17,902,true,Mastodon
supervolcano.angryshark.eu,2022-11-21T07:31:21.930Z,2024-10-30T13:15:04.986Z,2024-10-30T13:15:04.986Z,1,true,false,,false,5,"F ",80,B+,12,3260,19996,true,Supervolcano Mastodon Instance!
emu.social,2022-11-21T07:31:25.860Z,2024-10-30T12:30:24.048Z,2024-10-30T12:30:24.048Z,1,false,false,4.2.8,true,5,"F ",125,A+,5,711,10550,true,Emu.social
mastodon.ostertag.team,2022-11-21T07:31:26.725Z,2024-10-30T12:30:59.027Z,2024-10-30T12:30:59.027Z,1,true,false,4.3.1,false,0,,80,B+,3,880,7704,true,Mastodon.Ostertag
rejoiner.eu,2022-11-21T07:31:35.263Z,2024-10-30T12:30:19.851Z,2024-10-30T12:30:19.851Z,1,true,false,4.3.1+glitch,true,10,"E ",125,A+,6,87,13003,true,Rejoiner.EU
nyanya.net,2022-11-21T07:31:39.635Z,2024-10-30T12:30:32.205Z,2024-10-30T12:30:32.205Z,1,true,false,,true,10,"E ",125,A+,18,1164,5750,true,にゃにゃ
bangdream.tokyo,2022-11-21T07:31:42.274Z,2024-10-30T12:36:41.213Z,2024-10-30T12:36:41.213Z,1,true,false,4.3.1,true,100,A+,80,B+,10,169,6122,true,BanG_Dream!Tokyo.
mastodon.runninginthenight.com,2022-11-21T07:31:47.299Z,2024-10-30T12:31:04.167Z,2024-10-30T12:31:04.167Z,1,true,false,4.3.1,true,0,,80,B+,2,72,4523,true,Running In the Night | Mastodon
mastodon.derveni.org,2022-11-21T07:32:01.356Z,2024-10-30T12:30:08.324Z,2024-10-30T12:30:08.324Z,1,true,false,3.3.0,false,5,"F ",125,A+,54,45044,10695,true,Mastodon
mb.jenot.info,2022-11-21T07:32:02.189Z,2024-10-30T12:30:14.484Z,2024-10-30T12:30:14.484Z,1,true,false,,false,10,"E ",80,B+,1,581,8433,true,Jenot
plaza.vaporpolis.net,2022-11-21T07:32:09.631Z,2024-10-30T13:15:05.947Z,2024-10-30T13:15:05.947Z,1,true,false,,true,5,"F ",80,B+,5,3378,9639,true,Welcome to Vaporpolis
calobar.club,2022-11-21T07:32:16.570Z,2024-10-30T12:35:20.891Z,2024-10-30T12:35:20.891Z,1,true,false,,false,0,T,80,B+,1,835,5745,true,calobar.club
mastodon.eco,2022-11-21T07:32:24.530Z,2024-10-30T12:30:13.899Z,2024-10-30T12:30:13.899Z,1,true,false,,false,5,"F ",80,B+,70,1500,12708,true,Mastodon
mastodon.vapronva.pw,2022-11-21T07:32:42.985Z,2024-10-30T12:30:15.561Z,2024-10-30T12:30:15.561Z,1,true,false,4.3.0,false,100,A+,125,A+,3,311,9892,true,mastodon (vprw)
social.anjara.eu,2022-11-21T07:33:02.744Z,2024-10-30T12:35:04.492Z,2024-10-30T12:35:04.492Z,1,true,false,4.3.1,true,100,A+,120,A+,13,44,7990,true,Mastodon
soc.punktrash.club,2022-11-21T07:33:08.304Z,2024-10-30T12:32:00.705Z,2024-10-30T12:32:00.705Z,1,true,false,,true,100,A+,80,B+,225,72320,25023,true,punk trash
social.nikos410.de,2022-11-21T07:33:12.031Z,2024-10-30T13:15:17.558Z,2024-10-30T13:15:17.558Z,1,false,false,4.3.0+glitch,false,10,"E ",125,A+,3,296,9062,true,Mastodon
anar.chi.st,2022-11-21T07:33:12.856Z,2024-10-30T13:15:03.666Z,2024-10-30T13:15:03.666Z,1,true,false,,false,10,"E ",35,"D ",885,0,8462,true,anar.chi.st
tvwatch.party,2022-11-21T07:33:14.039Z,2024-10-30T12:35:14.576Z,2024-10-30T12:35:14.576Z,1,true,false,4.3.0,false,5,"F ",80,B+,5,11924,12632,true,TV Watch Party
rpvortex.online,2022-11-21T07:33:20.096Z,2024-10-30T12:36:25.583Z,2024-10-30T12:36:25.583Z,1,true,false,4.3.1,false,10,"E ",80,B+,441,14319,3646,true,RP Vortex (II)
paquita.masto.host,2022-11-21T07:33:27.747Z,2024-10-30T12:55:03.878Z,2024-10-30T12:55:03.878Z,1,true,false,4.3.1,true,0,,80,B+,2070,466082,31246,true,Mastodon
friends.polli.social,2022-11-21T07:33:42.459Z,2024-10-30T13:15:25.561Z,2024-10-30T13:15:25.561Z,1,true,false,,false,10,"E ",55,"C ",7,114,7082,true,polli social 🐔
mastodon.f12n.de,2022-11-21T07:34:11.422Z,2024-10-30T12:31:11.386Z,2024-10-30T12:31:11.386Z,1,true,false,3.2.0,true,5,"F ",30,"D ",10,311,3247,true,Mastodon
sciencemastodon.com,2022-11-21T07:34:21.009Z,2024-10-30T12:35:04.683Z,2024-10-30T12:35:04.683Z,1,true,false,4.3.1,false,0,,80,B+,1478,62198,28776,true,Science Mastodon
poofion.com,2022-11-21T07:34:23.030Z,2024-10-30T12:36:31.842Z,2024-10-30T12:36:31.842Z,1,true,false,2.8.0,false,10,"E ",105,A+,305,283786,1851,true,Poofion
social.node001.net,2022-11-21T07:34:27.813Z,2024-10-30T12:32:10.580Z,2024-10-30T12:32:10.580Z,1,true,false,4.0.6,false,5,"F ",55,"C ",2,8580,11575,true,Node001
vt.social,2022-11-21T07:34:36.273Z,2024-10-30T12:30:47.291Z,2024-10-30T12:30:47.291Z,1,true,false,,true,5,"F ",105,A+,1088,134277,27516,true,VT Social
friendica.mifritscher.de,2022-11-21T07:34:50.068Z,2024-10-30T12:30:35.384Z,2024-10-30T12:30:35.384Z,1,true,false,,true,10,"E ",55,"C ",0,0,0,true,My Friend Network
red.niboe.info,2022-11-21T07:35:02.030Z,2024-10-30T12:30:29.480Z,2024-10-30T12:30:29.480Z,1,true,false,,true,10,"E ",80,B+,417,17402,22128,true,redNiboe
mastodon.hexix.de,2022-11-21T07:35:09.161Z,2024-10-30T12:31:01.683Z,2024-10-30T12:31:01.683Z,1,true,false,4.3.1,true,5,"F ",80,B+,12,1663,12318,true,Mastodon HexIx
clj.social,2022-11-21T07:35:27.647Z,2024-10-30T12:31:50.194Z,2024-10-30T12:31:50.194Z,1,true,false,4.3.1,true,5,"F ",80,B+,222,3998,101252,true,clj.social
maaw.social,2022-11-21T07:35:28.147Z,2024-10-30T12:35:39.001Z,2024-10-30T12:35:39.001Z,1,true,false,,false,100,A+,125,A+,18,4625,7548,true,Maaw
hackerspace.au,2022-11-21T07:35:29.785Z,2024-10-30T12:35:07.730Z,2024-10-30T12:35:07.730Z,1,true,false,,false,5,"F ",80,B+,15,559,8799,true,HACKERSPACE.AU
javisst.space,2022-11-21T07:35:31.164Z,2024-10-30T12:35:24.144Z,2024-10-30T12:35:24.144Z,1,true,false,,true,10,"E ",80,B+,6,422,6952,true,Mastodon
social.undisruptable.technology,2022-11-21T07:35:48.287Z,2024-10-30T12:45:08.785Z,2024-10-30T12:45:08.785Z,1,false,false,,false,100,A+,80,B+,3,314,11428,true,Mastodon
bat.chat,2022-11-21T07:35:49.342Z,2024-10-30T13:15:21.923Z,2024-10-30T13:15:21.923Z,1,true,false,4.3.1,false,0,,80,B+,11,0,2828,true,Private Nocturnal Social Media - Bat.chat
social.mjohnson.tech,2022-11-21T07:35:54.164Z,2024-10-30T12:35:21.145Z,2024-10-30T12:35:21.145Z,1,true,false,4.3.1,true,100,A+,80,B+,14,56,2271,true,Mastodon
social.zteo.com,2022-11-21T07:35:54.280Z,2024-10-30T12:36:10.025Z,2024-10-30T12:36:10.025Z,1,true,false,4.3.0,false,10,"E ",80,B+,2,8,2698,true,Zteo
toot.ecclesias.net,2022-11-21T07:36:03.880Z,2024-10-30T12:32:00.530Z,2024-10-30T12:32:00.530Z,1,true,false,,false,100,A+,125,A+,9,41,2580,true,Mastodon
superawesomeclub.vip,2022-11-21T07:36:05.288Z,2024-10-30T12:36:51.580Z,2024-10-30T12:36:51.580Z,1,true,false,4.3.1,false,10,"E ",80,B+,7,35,4159,true,Super Awesome Club
notorious.gay,2022-11-21T07:36:08.340Z,2024-10-30T12:35:03.207Z,2024-10-30T12:35:03.207Z,1,true,false,4.3.1,false,10,"E ",80,B+,1,8,12795,true,Notorious.Gay
mastodon.adamgeitgey.com,2022-11-21T07:36:14.145Z,2024-10-30T12:36:22.782Z,2024-10-30T12:36:22.782Z,1,true,false,,false,0,"T ",80,B+,8,1680,5431,true,Mastodon
bunny.cafe,2022-11-21T07:36:14.491Z,2024-10-30T12:31:14.842Z,2024-10-30T12:31:14.842Z,1,true,false,,false,100,A+,110,A+,28,2341,8468,true,Bunny Café
social.bethejustin.com,2022-11-21T07:36:29.773Z,2024-10-30T12:36:31.354Z,2024-10-30T12:36:31.354Z,1,true,false,,false,5,"F ",80,B+,3,459,7735,true,BTJ Social
social.scholzbande.de,2022-11-21T07:36:34.503Z,2024-10-30T12:36:47.196Z,2024-10-30T12:36:47.196Z,1,true,false,4.3.1,true,100,A+,125,A+,2,9,4521,true,Mastodon
otadon.com,2022-11-21T07:36:59.709Z,2024-10-30T12:35:03.130Z,2024-10-30T12:35:03.130Z,1,true,false,,true,5,"F ",125,A+,867,482632,12952,true,Otadon
the.zymocosm.com,2022-11-21T07:37:11.484Z,2024-10-30T13:10:03.808Z,2024-10-30T13:10:03.808Z,1,true,false,4.3.1,true,0,,80,B+,7,305,8289,true,Mastodon
guerrill.art,2022-11-21T07:37:13.367Z,2024-10-30T13:10:06.672Z,2024-10-30T13:10:06.672Z,1,true,false,4.3.1,false,100,A+,80,B+,6,64,11155,true,guerrill.art
social.lviv2.dcomm.net.ua,2022-11-21T07:37:15.379Z,2024-10-30T12:35:26.010Z,2024-10-30T12:35:26.010Z,1,true,false,,false,100,A+,80,B+,33,107,3950,true,dComms Lviv2 Mastodon
dragon.navy,2022-11-21T07:37:22.873Z,2024-10-30T12:30:36.302Z,2024-10-30T12:30:36.302Z,1,true,false,,false,100,A+,125,A+,5,797,6582,true,Dragon Navy
